p,objID,run,camcol,field,ra,dec
0.9966717,(1237664835397288177,4508,2,217,145.1138596,29.73652697
0.99633116,(1237650369936359826,1140,2,48,160.0289302,-2.820367846
0.9952231,(1237657220950721441,2735,3,119,167.1038857,55.98672985
0.9952089,(1237655499743495267,2334,5,133,215.7512003,-1.383889425
0.9950728,(1237662301355639788,3918,2,50,195.7041354,51.46415698
0.9950169,(1237662224063136821,3900,2,308,172.1989637,38.47471128
0.99430436,(1237667430102467584,5112,3,340,161.5043916,25.35238968
0.9941082,(1237668296596522116,5314,1,102,192.3569457,18.73596271
0.99405,(1237664294222300401,4382,2,78,201.617359,38.30749982
0.99376416,(1237668495242953699,5360,3,166,171.0097803,16.80234059
0.99356693,(1237668297128412035,5314,2,26,180.241426,19.16016325
0.99348736,(1237661871880406528,3818,2,378,225.2891717,36.39913183
0.99340457,(1237667734521775403,5183,2,546,216.4255054,19.0189248
0.9929894,(1237667550344840370,5140,3,85,164.2013255,23.36825658
0.99214244,(1237651754545906486,1462,5,345,177.0658755,3.04397368
0.99204504,(1237667537475601273,5137,3,324,162.3563242,22.9580424
0.9918384,(1237662195599410140,3893,5,162,182.2991335,43.25885448
0.9917197,(1237668590267073807,5382,4,135,202.1218413,16.8960527
0.9916644,(1237662499470509079,3964,3,195,241.9480368,35.03123429
0.9916453,(1237664835397289195,4508,2,217,145.1613666,29.81558445
0.9916039,(1237668292836721636,5313,2,76,170.6630705,18.71512714
0.991527,(1237657630598956247,2830,6,359,169.9098657,52.40099778
0.99127144,(1237658491734852599,3031,2,282,162.3400793,8.541240265
0.99112344,(1237648702971315300,752,1,340,194.4878115,-1.14159843
0.99110246,(1237665127457226815,4576,2,250,150.4123012,29.29891939
0.99106747,(1237665129071707081,4576,5,309,159.9516304,32.95520939
0.9909071,(1237667734497264706,5183,2,172,156.6962307,19.42942987
0.99085695,(1237667550346150696,5140,3,105,167.3698958,23.75943152
0.99069756,(1237648705120830504,752,5,371,199.1475505,0.603900972
0.99048865,(1237655499743495271,2334,5,133,215.7771772,-1.457144654
0.9904084,(1237662224078603607,3900,2,544,216.4637492,34.86960979
0.9900165,(1237654606403077111,2126,5,328,168.26907,5.56251979
0.9899771,(1237664854176564506,4512,5,46,203.6320469,36.85001149
0.98964125,(1237658493880304420,3031,6,251,157.6418267,9.805042616
0.98963517,(1237661068716998717,3631,2,309,163.0362318,13.13071811
0.9895079,(1237664289928709072,4381,2,99,185.7267981,14.56280313
0.9890205,(1237658491739898934,3031,2,359,174.0135774,8.976622606
0.98893213,(1237664289928708388,4381,2,99,185.6391728,14.38358962
0.9887561,(1237661874024940802,3818,6,333,218.3688586,40.96747235
0.9885717,(1237667550345037066,5140,3,88,164.5700393,23.44287622
0.98792994,(1237655493833130195,2333,2,60,205.8079316,-2.985830298
0.9876022,(1237667210528359782,5061,2,433,182.2040686,29.20115616
0.98757404,(1237661070325646491,3631,5,279,158.2248533,14.07944819
0.98750025,(1237670358717432252,5794,2,98,130.1580168,14.51536835
0.9874112,(1237668288014058330,5312,1,216,165.1137529,17.89380215
0.9872006,(1237668336321627329,5323,3,51,235.9041762,16.07206829
0.98679304,(1237661852017689478,3813,5,401,220.1519063,40.18363203
0.9867191,(1237667910586597560,5224,2,106,168.402911,23.34328005
